currentRank,__typename,node.episodes.episodes.total,node.episodes.episodes.__typename,node.episodes.__typename,node.id,node.titleText.text,node.titleText.__typename,node.titleType.id,node.titleType.text,node.titleType.canHaveEpisodes,node.titleType.displayableProperty.value.plainText,node.titleType.displayableProperty.value.__typename,node.titleType.displayableProperty.__typename,node.titleType.__typename,node.originalTitleText.text,node.originalTitleText.__typename,node.primaryImage.id,node.primaryImage.width,node.primaryImage.height,node.primaryImage.url,node.primaryImage.caption.plainText,node.primaryImage.caption.__typename,node.primaryImage.__typename,node.releaseYear.year,node.releaseYear.endYear,node.releaseYear.__typename,node.ratingsSummary.aggregateRating,node.ratingsSummary.voteCount,node.ratingsSummary.__typename,node.runtime.seconds,node.runtime.__typename,node.certificate.rating,node.certificate.__typename,node.canRate.isRatable,node.canRate.__typename,node.titleGenres.genres,node.titleGenres.__typename,node.canHaveEpisodes,node.plot.plotText.plainText,node.plot.plotText.__typename,node.plot.__typename,node.latestTrailer.id,node.latestTrailer.__typename,node.series,node.__typename,node.latestTrailer,node.certificate
11,ChartTitleEdge,13,EpisodeConnection,Episodes,tt0081846,Cosmos,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Cosmos,TitleText,rm787024385,1280,1920,https://m.media-amazon.com/images/M/MV5BM2YzYzc0OWUtNmIwZi00MTBlLThjYTgtYmU1ODlhMzdjMzdjXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,Carl Sagan in Cosmos (1980),Markdown,Image,1980,1980.0,YearRange,9.3,43536,RatingsSummary,46800,Runtime,TV-PG,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,Markdown,Plot,vi3961371929,Video,,Title,,
12,ChartTitleEdge,12,EpisodeConnection,Episodes,tt9253866,Our Planet,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Our Planet,TitleText,rm3840412161,1000,1426,https://m.media-amazon.com/images/M/MV5BZmM2OWEyN2EtZWY2NS00ZDA3LWFlNTAtNzUzMGQwZWVlZmE4XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,David Attenborough in Our Planet (2019),Markdown,Image,2019,2023.0,YearRange,9.3,50166,RatingsSummary,3000,Runtime,TV-PG,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"Explores and unravels the mystery of how and why animals migrate, showing some of the most dramatic and compelling stories in the natural world through spectacular and innovative cinematography.",Markdown,Plot,vi2722874393,Video,,Title,,
13,ChartTitleEdge,74,EpisodeConnection,Episodes,tt0944947,Game of Thrones,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Game of Thrones,TitleText,rm3885121281,1000,1500,https://m.media-amazon.com/images/M/MV5BN2IzYzBiOTQtNGZmMi00NDI5LTgxMzMtN2EzZjA1NjhlOGMxXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,Sean Bean in Game of Thrones (2011),Markdown,Image,2011,2019.0,YearRange,9.2,2258992,RatingsSummary,3300,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Action', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Adventure', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for a millennia.",Markdown,Plot,vi1988544281,Video,,Title,,
14,ChartTitleEdge,26,EpisodeConnection,Episodes,tt0071075,The World at War,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,The World at War,TitleText,rm2953200385,992,1200,https://m.media-amazon.com/images/M/MV5BOTI1NDAxMWQtOThkOS00MWIwLWJlNGQtNGJhNGIzZTkxYTcwXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_.jpg,The World at War (1973),Markdown,Image,1973,1974.0,YearRange,9.2,28241,RatingsSummary,80160,Runtime,TV-PG,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'History', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'War', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.",Markdown,Plot,,,,Title,,
15,ChartTitleEdge,172,EpisodeConnection,Episodes,tt7678620,Bluey,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Bluey,TitleText,rm4004683521,1655,2483,https://m.media-amazon.com/images/M/MV5BMDBiNDI3YjQtNDdkNS00ZDliLTlmMmQtMDE4ZWM1ZGIyNjljXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_.jpg,Bluey (2018),Markdown,Image,2018,,YearRange,9.4,24186,RatingsSummary,420,Runtime,TV-Y,Certificate,True,CanRate,"[{'genre': {'text': 'Animation', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Family', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,Markdown,Plot,vi4026580505,Video,,Title,,
16,ChartTitleEdge,74,EpisodeConnection,Episodes,tt2861424,Rick and Morty,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Rick and Morty,TitleText,rm209331968,1280,1920,https://m.media-amazon.com/images/M/MV5BZjRjOTFkOTktZWUzMi00YzMyLThkMmYtMjEwNmQyNzliYTNmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_.jpg,Justin Roiland in Rick and Morty (2013),Markdown,Image,2013,,YearRange,9.1,593634,RatingsSummary,1380,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Animation', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Adventure', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Comedy', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.,Markdown,Plot,vi1423230745,Video,,Title,,
17,ChartTitleEdge,68,EpisodeConnection,Episodes,tt1355642,Fullmetal Alchemist: Brotherhood,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Hagane no renkinjutsushi,TitleText,rm4007074048,1143,1600,https://m.media-amazon.com/images/M/MV5BZmEzN2YzOTItMDI5MS00MGU4LWI1NWQtOTg5ZThhNGQwYTEzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,Romi Park and Rie Kugimiya in Fullmetal Alchemist: Brotherhood (2009),Markdown,Image,2009,2010.0,YearRange,9.1,194252,RatingsSummary,1440,Runtime,TV-14,Certificate,True,CanRate,"[{'genre': {'text': 'Animation', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Action', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Adventure', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,Markdown,Plot,vi4196311833,Video,,Title,,
18,ChartTitleEdge,11,EpisodeConnection,Episodes,tt1533395,Life,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Life,TitleText,rm4034789888,1000,1426,https://m.media-amazon.com/images/M/MV5BNjJhMTAxZjYtNWZkYy00Nzg1LTlkYjItZTNhZWRjNzkxMDg3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,Life (2009),Markdown,Image,2009,2009.0,YearRange,9.1,42569,RatingsSummary,28380,Runtime,TV-G,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Family', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evolutionary groups of creatures.,Markdown,Plot,vi161529113,Video,,Title,,
19,ChartTitleEdge,10,EpisodeConnection,Episodes,tt8420184,The Last Dance,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,The Last Dance,TitleText,rm2230170369,4005,5973,https://m.media-amazon.com/images/M/MV5BY2U1ZTU4OWItNGU2MC00MTg1LTk4NzUtYTk3ODhjYjI0MzlmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,"Michael Jordan, Dennis Rodman, Phil Jackson, Steve Kerr, and Scottie Pippen in The Last Dance (2020)",Markdown,Image,2020,2020.0,YearRange,9.1,149125,RatingsSummary,29460,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Biography', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'History', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"Led by Michael Jordan, the 1990s Chicago Bulls establish themselves as one of the most notable dynasties in sports history.",Markdown,Plot,vi103792921,Video,,Title,,
20,ChartTitleEdge,156,EpisodeConnection,Episodes,tt0052520,The Twilight Zone,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,The Twilight Zone,TitleText,rm1757242112,490,761,https://m.media-amazon.com/images/M/MV5BNTAzMDI5MzgtMGNkMC00MzllLWJhNjctNjA1NmViNGUxMzYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,Rod Serling in The Twilight Zone (1959),Markdown,Image,1959,1964.0,YearRange,9.1,92165,RatingsSummary,3060,Runtime,TV-PG,Certificate,True,CanRate,"[{'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Fantasy', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Horror', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",Markdown,Plot,vi2258615833,Video,,Title,,
21,ChartTitleEdge,15,EpisodeConnection,Episodes,tt1475582,Sherlock,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Sherlock,TitleText,rm137431553,1000,1500,https://m.media-amazon.com/images/M/MV5BMWEzNTFlMTQtMzhjOS00MzQ1LWJjNjgtY2RhMjFhYjQwYjIzXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_.jpg,Martin Freeman and Benedict Cumberbatch in Sherlock (2010),Markdown,Image,2010,2017.0,YearRange,9.1,988220,RatingsSummary,5280,Runtime,TV-14,Certificate,True,CanRate,"[{'genre': {'text': 'Crime', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Mystery', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"The quirky spin on Conan Doyle's iconic sleuth pitches him as a ""high-functioning sociopath"" in modern-day London. Assisting him in his investigations: Afghanistan War vet John Watson, who's introduced to Holmes by a mutual acquaintance.",Markdown,Plot,vi1000193049,Video,,Title,,
22,ChartTitleEdge,10,EpisodeConnection,Episodes,tt1877514,The Vietnam War,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,The Vietnam War,TitleText,rm1743325697,2000,3000,https://m.media-amazon.com/images/M/MV5BZmY2NGMyY2EtMjJiMS00MmFlLTk1MmItZDA1NTQ0ODg0MDA4XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,The Vietnam War (2017),Markdown,Image,2017,2017.0,YearRange,9.1,27613,RatingsSummary,59400,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'History', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'War', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,Markdown,Plot,vi3677471257,Video,,Title,,
23,ChartTitleEdge,85,EpisodeConnection,Episodes,tt0103359,Batman: The Animated Series,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Batman: The Animated Series,TitleText,rm3798014721,2000,3000,https://m.media-amazon.com/images/M/MV5BZmVkNDc3YjQtZDMzOS00MTNjLTljNzUtZDhjYWQxMmVlNjE5XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_.jpg,Batman: The Animated Series (1992),Markdown,Image,1992,1995.0,YearRange,9.0,115320,RatingsSummary,1380,Runtime,TV-PG,Certificate,True,CanRate,"[{'genre': {'text': 'Animation', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Action', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Adventure', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,Markdown,Plot,vi1675207961,Video,,Title,,
24,ChartTitleEdge,98,EpisodeConnection,Episodes,tt2560140,Attack on Titan,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Shingeki no Kyojin,TitleText,rm2459906561,889,1200,https://m.media-amazon.com/images/M/MV5BNDFjYTIxMjctYTQ2ZC00OGQ4LWE3OGYtNDdiMzNiNDZlMDAwXkEyXkFqcGdeQXVyNzI3NjY3NjQ@._V1_.jpg,"Marina Inoue, Yûki Kaji, and Yui Ishikawa in Attack on Titan (2013)",Markdown,Image,2013,2023.0,YearRange,9.1,497554,RatingsSummary,1440,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Animation', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Action', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Adventure', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"After his hometown is destroyed and is traumatized, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",Markdown,Plot,vi3191457561,Video,,Title,,
25,ChartTitleEdge,10,EpisodeConnection,Episodes,tt12392504,Scam 1992: The Harshad Mehta Story,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Scam 1992: The Harshad Mehta Story,TitleText,rm2407113985,800,1200,https://m.media-amazon.com/images/M/MV5BNjgxZTMxNmQtZGFkZS00NDUyLTllMzYtOTE0ZjdlMjM1ZWU0XkEyXkFqcGdeQXVyMTAyMTE1MDA1._V1_.jpg,Pratik Gandhi in Scam 1992: The Harshad Mehta Story (2020),Markdown,Image,2020,2020.0,YearRange,9.3,155404,RatingsSummary,3240,Runtime,TV-14,Certificate,True,CanRate,"[{'genre': {'text': 'Biography', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Crime', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"The rise and fall of Harshad Mehta, a stockbroker who single-handedly took the stock market to great heights, is depicted.",Markdown,Plot,vi3437281561,Video,,Title,,
